Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2024,Afghanistan,188,0.20827,0.1096,0.14379,0.2643,0.21672
2024,Albania ,62,0.8,0.726,0.81441,0.81059,0.77497
2024,Algeria ,116,0.59556,0.0548,0.332,0.64179,0.8129
2024,Andorra ,88,0.68931,0.5479,0.47804,0.66684,0.92307
2024,Angola ,156,0.41487,0.2192,0.39624,0.47602,0.37238
2024,Antigua and Barbuda ,105,0.64282,0.3425,0.41658,0.71757,0.79426
2024,Argentina ,42,0.85733,0.6301,0.79649,0.93298,0.84254
2024,Armenia ,48,0.84217,0.8493,0.7922,0.8561,0.87824
2024,Australia ,8,0.9577,0.863,0.92219,1,0.95092
2024,Austria,22,0.90653,0.7808,0.83829,0.90028,0.98096
2024,Azerbaijan ,74,0.76073,0.4932,0.73863,0.72329,0.82034
2024,Bahamas ,83,0.71434,0.3151,0.54021,0.73762,0.86522
2024,Bahrain ,18,0.91958,0.9041,0.90305,0.86804,0.98773
2024,Bangladesh ,100,0.65696,0.6164,0.73744,0.58337,0.6501
2024,Barbados ,91,0.6815,0.3288,0.49755,0.7845,0.7624
2024,Belarus ,77,0.74449,0.4932,0.57598,0.74188,0.91561
2024,Belgium ,56,0.81212,0.5068,0.72244,0.84416,0.86984
2024,Belize ,141,0.48719,0.2329,0.40545,0.52698,0.52917
2024,Benin ,146,0.45779,0.3699,0.52016,0.37146,0.48171
2024,Bhutan ,103,0.6511,0.4932,0.58862,0.54781,0.81695
2024,Bolivia ,99,0.66508,0.4247,0.59869,0.68765,0.7089
2024,Bosnia and Herzegovina ,107,0.63293,0.5479,0.50028,0.62219,0.77628
2024,Botswana ,112,0.61178,0.274,0.39852,0.57194,0.86495
2024,Brazil ,50,0.84026,0.863,0.90631,0.80768,0.80685
2024,Brunei ,75,0.75536,0.4658,0.5802,0.69909,0.9868
2024,Bulgaria ,55,0.81453,0.6712,0.77271,0.75378,0.91707
2024,Burkina Faso ,175,0.28946,0.2192,0.33764,0.16677,0.36402
2024,Burundi ,183,0.24805,0.2192,0.3146,0.39655,0.03305
2024,Cabo Verde ,111,0.62378,0.5479,0.68917,0.56935,0.61278
2024,Cambodia ,120,0.57536,0.3151,0.45034,0.51489,0.76094
2024,Cameroon ,155,0.42935,0.4247,0.39885,0.51925,0.37004
2024,Canada ,47,0.84516,0.9178,0.85516,0.87249,0.80782
2024,Central African Republic ,193,0.0947,0.0822,0.1128,0.1713,0
2024,Chad ,189,0.17853,0.3151,0.26738,0.14879,0.11945
2024,Chile ,31,0.88266,0.8356,0.86119,0.84129,0.94553
2024,China ,35,0.87184,0.9315,0.92576,0.79023,0.89954
2024,Colombia ,68,0.7793,0.7397,0.7521,0.77931,0.80654
2024,Comoros ,180,0.25862,0,0.02299,0.39916,0.35368
2024,Congo ,166,0.33912,0.0822,0.27604,0.46375,0.27758
2024,Costa Rica ,61,0.80089,0.726,0.72169,0.78766,0.89327
2024,Croatia ,32,0.88175,0.9178,0.87347,0.85376,0.91799
2024,Cuba ,139,0.49214,0.0548,0.22982,0.71481,0.53183
2024,Cyprus ,38,0.86187,0.6986,0.82165,0.8698,0.89406
2024,Czechia,54,0.82394,0.589,0.70063,0.85082,0.92043
2024,North Korea,184,0.23201,0,0.02908,0.49244,0.17452
2024,Democratic Republic of the Congo ,179,0.27149,0.2466,0.20671,0.44867,0.15906
2024,Denmark ,1,0.98474,0.9863,0.99924,0.95841,0.99662
2024,Djibouti ,174,0.29105,0.0959,0.20915,0.27996,0.38402
2024,Dominica ,127,0.54452,0.3014,0.37983,0.57807,0.67566
2024,Dominican Republic ,85,0.70127,0.6575,0.64047,0.7189,0.7444
2024,Ecuador ,67,0.77997,0.8767,0.88507,0.7715,0.68335
2024,Egypt ,95,0.66994,0.589,0.70016,0.61503,0.69456
2024,El Salvador ,115,0.5988,0.3836,0.50897,0.53479,0.75264
2024,Equatorial Guinea ,176,0.28554,0.2329,0.19319,0.41021,0.2532
2024,Eritrea ,190,0.15762,0.0137,0,0.33237,0.14054
2024,Estonia ,2,0.97274,0.9589,0.99535,0.94972,0.97309
2024,eSwatini,113,0.60812,0.3836,0.45574,0.58357,0.78511
2024,Ethiopia ,169,0.31109,0.1644,0.34195,0.32537,0.26592
2024,Fiji ,93,0.67544,0.3973,0.53431,0.74131,0.75067
